Network,Class,Degree
500,Polycystinea,6
500,Dinophyceae,3
500,Polycystinea,4
500,RAD-B,11
500,Acantharea,6
500,Dinophyceae,4
500,RAD-B,5
500,RAD-B,6
500,Polycystinea,4
500,Polycystinea,4
500,Polycystinea,3
500,Acantharea,4
500,Dinophyceae,1
500,Dinophyceae,4
500,RAD-B,8
500,Polycystinea,4
500,RAD-B,4
500,RAD-B,5
500,Dinophyceae,4
500,Acantharea,2
500,Acantharea,4
500,RAD-B,7
500,Arthropoda,1
500,Arthropoda,2
500,RAD-B,5
500,Acantharea,4
500,RAD-B,4
500,Acantharea,3
500,Dinophyceae,6
500,RAD-B,9
500,Polycystinea,4
500,Arthropoda,2
500,Polycystinea,3
500,Acantharea,2
500,Acantharea,2
500,RAD-B,3
600,Dinophyceae,2
600,RAD-B,5
600,RAD-B,3
600,Arthropoda,2
600,Polycystinea,2
600,RAD-B,5
600,Acantharea,3
600,Dinophyceae,1
600,Polycystinea,2
600,RAD-B,5
600,RAD-B,3
600,RAD-B,3
600,Dinophyceae,2
600,Polycystinea,2
600,RAD-B,6
600,Polycystinea,3
600,Polycystinea,7
600,Acantharea,4
600,Polycystinea,5
600,Acantharea,5
600,Dinophyceae,2
600,Dinophyceae,7
600,Polycystinea,3
600,RAD-B,6
600,Dinophyceae,1
600,RAD-B,7
600,Dinophyceae,4
600,Dinophyceae,4
600,RAD-B,8
600,Arthropoda,3
600,Arthropoda,2
600,Dinophyceae,4
600,RAD-B,3
600,Polycystinea,2
600,RAD-B,6
600,Polycystinea,1
600,Polycystinea,5
600,RAD-B,8
800,Polycystinea,9
800,Dinophyceae,3
800,RAD-B,7
800,Dinophyceae,2
800,RAD-B,6
800,Polycystinea,4
800,RAD-B,4
800,RAD-B,5
800,Dinophyceae,2
800,Polycystinea,3
800,Dinophyceae,1
800,RAD-B,7
800,RAD-B,8
800,Dinophyceae,1
800,Acantharea,3
800,Acantharea,6
800,Dinophyceae,2
800,Polycystinea,2
800,RAD-B,5
800,Acantharea,3
800,RAD-B,5
800,Dinophyceae,4
800,Polycystinea,3
800,Polycystinea,2
800,Dinophyceae,1
800,Arthropoda,1
800,Acantharea,6
800,RAD-B,7
800,Polycystinea,2
800,Acantharea,3
800,RAD-B,3
800,Polycystinea,8
800,Dinophyceae,2
800,Dinophyceae,1
800,Polycystinea,4
800,Polycystinea,1
800,RAD-B,1
800,Acantharea,3
800,Dinophyceae,1
800,RAD-B,3
800,RAD-B,7
800,Acantharea,2
800,RAD-B,5
800,Polycystinea,6
800,Dinophyceae,4
800,Polycystinea,3
800,RAD-B,3
1000,Polycystinea,2
1000,Polycystinea,5
1000,RAD-B,6
1000,Dinophyceae,2
1000,Polycystinea,1
1000,Dinophyceae,4
1000,Dinophyceae,1
1000,Polycystinea,2
1000,RAD-B,5
1000,RAD-B,8
1000,Polycystinea,3
1000,RAD-B,4
1000,Acantharea,2
1000,RAD-B,5
1000,Polycystinea,6
1000,Dinophyceae,1
1000,RAD-B,3
1000,RAD-B,3
1000,Polycystinea,2
